scenario,model,ensemble,warming_level,year
ssp119,CanESM5,r1i1p1f1,1.5,2020
ssp119,CanESM5,r1i1p1f1,1.5,2021
ssp119,CanESM5,r1i1p1f1,1.5,2022
ssp119,CanESM5,r1i1p1f1,2,2015
ssp119,CanESM5,r1i1p1f1,2,2016
ssp119,CanESM5,r1i1p1f1,2,2017
ssp119,CanESM5,r1i1p1f1,2,2018
ssp119,CanESM5,r1i1p1f1,2,2019
ssp119,CanESM5,r1i1p1f1,2,2020
ssp119,CanESM5,r1i1p1f1,2,2021
ssp119,CanESM5,r1i1p1f1,2,2022
ssp119,CanESM5,r1i1p1f1,2,2023
ssp119,CanESM5,r1i1p1f1,2,2024
ssp119,CanESM5,r1i1p1f1,2,2025
ssp119,CanESM5,r1i1p1f1,2,2026
ssp119,CanESM5,r1i1p1f1,2,2027
ssp119,CanESM5,r1i1p1f1,2,2028
ssp119,CanESM5,r1i1p1f1,2,2029
ssp119,CanESM5,r1i1p1f1,2,2030
ssp119,CanESM5,r1i1p1f1,2,2031
ssp119,CanESM5,r1i1p1f1,2,2032
ssp119,CanESM5,r1i1p1f1,2,2033
ssp119,CanESM5,r1i1p1f1,2,2034
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1971
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1972
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1973
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1974
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1975
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1976
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1977
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1978
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1979
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1980
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1981
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1982
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1983
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1984
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1985
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1986
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1987
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1988
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1989
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1990
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1991
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1992
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1993
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1994
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1995
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1996
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1997
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1998
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,1999
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,2000
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,2001
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,2002
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,2003
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,2004
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,2005
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,2006
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,2007
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,2008
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,2009
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,2010
ssp119,CNRM-ESM2-1,r1i1p1f2,0.38,2011
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,1991
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,1992
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,1993
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,1994
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,1995
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,1996
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,1997
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,1998
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,1999
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,2000
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,2001
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,2002
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,2003
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,2004
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,2005
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,2006
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,2007
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,2008
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,2009
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,2010
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,2011
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,2012
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,2013
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,2014
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,2015
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,2016
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,2017
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,2018
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,2019
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,2020
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,2021
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,2022
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,2023
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,2024
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,2025
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,2026
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,2027
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,2028
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,2029
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,2030
ssp119,CNRM-ESM2-1,r1i1p1f2,0.84,2031
ssp119,CNRM-ESM2-1,r1i1p1f2,1,2007
ssp119,CNRM-ESM2-1,r1i1p1f2,1,2008
ssp119,CNRM-ESM2-1,r1i1p1f2,1,2009
ssp119,CNRM-ESM2-1,r1i1p1f2,1,2010
ssp119,CNRM-ESM2-1,r1i1p1f2,1,2011
ssp119,CNRM-ESM2-1,r1i1p1f2,1,2012
ssp119,CNRM-ESM2-1,r1i1p1f2,1,2013
ssp119,CNRM-ESM2-1,r1i1p1f2,1,2014
ssp119,CNRM-ESM2-1,r1i1p1f2,1,2015
ssp119,CNRM-ESM2-1,r1i1p1f2,1,2016
ssp119,CNRM-ESM2-1,r1i1p1f2,1,2017
ssp119,CNRM-ESM2-1,r1i1p1f2,1,2018
ssp119,CNRM-ESM2-1,r1i1p1f2,1,2019
ssp119,CNRM-ESM2-1,r1i1p1f2,1,2020
ssp119,CNRM-ESM2-1,r1i1p1f2,1,2021
ssp119,CNRM-ESM2-1,r1i1p1f2,1,2022
ssp119,CNRM-ESM2-1,r1i1p1f2,1,2023
ssp119,CNRM-ESM2-1,r1i1p1f2,1,2024
ssp119,CNRM-ESM2-1,r1i1p1f2,1,2025
ssp119,CNRM-ESM2-1,r1i1p1f2,1,2026
ssp119,CNRM-ESM2-1,r1i1p1f2,1.5,2058
ssp119,CNRM-ESM2-1,r1i1p1f2,1.5,2059
ssp119,CNRM-ESM2-1,r1i1p1f2,1.5,2060
ssp119,CNRM-ESM2-1,r1i1p1f2,1.5,2061
ssp119,CNRM-ESM2-1,r1i1p1f2,1.5,2062
ssp119,CNRM-ESM2-1,r1i1p1f2,1.5,2063
ssp119,CNRM-ESM2-1,r1i1p1f2,1.5,2064
ssp119,CNRM-ESM2-1,r1i1p1f2,1.5,2065
ssp119,CNRM-ESM2-1,r1i1p1f2,1.5,2066
ssp119,CNRM-ESM2-1,r1i1p1f2,1.5,2067
ssp119,CNRM-ESM2-1,r1i1p1f2,1.5,2068
ssp119,CNRM-ESM2-1,r1i1p1f2,1.5,2069
ssp119,CNRM-ESM2-1,r1i1p1f2,1.5,2070
ssp119,CNRM-ESM2-1,r1i1p1f2,1.5,2071
ssp119,CNRM-ESM2-1,r1i1p1f2,1.5,2072
ssp119,CNRM-ESM2-1,r1i1p1f2,1.5,2073
ssp119,CNRM-ESM2-1,r1i1p1f2,1.5,2074
ssp119,CNRM-ESM2-1,r1i1p1f2,1.5,2075
ssp119,CNRM-ESM2-1,r1i1p1f2,1.5,2076
ssp119,CNRM-ESM2-1,r1i1p1f2,1.5,2077
ssp119,EC-Earth3,r4i1p1f1,0.38,1909
ssp119,EC-Earth3,r4i1p1f1,0.38,1910
ssp119,EC-Earth3,r4i1p1f1,0.38,1911
ssp119,EC-Earth3,r4i1p1f1,0.38,1912
ssp119,EC-Earth3,r4i1p1f1,0.38,1913
ssp119,EC-Earth3,r4i1p1f1,0.38,1914
ssp119,EC-Earth3,r4i1p1f1,0.38,1915
ssp119,EC-Earth3,r4i1p1f1,0.38,1916
ssp119,EC-Earth3,r4i1p1f1,0.38,1917
ssp119,EC-Earth3,r4i1p1f1,0.38,1918
ssp119,EC-Earth3,r4i1p1f1,0.38,1919
